State	Commodity	plantedAllPurposeAcres	harvestedAcres	cropYield	production	pricePerUnit	productionValueDollars
ARIZONA	DATES, FRESH MARKET	0	0		(D) TONS	(D) $ / TON	(D)	
ARIZONA	DATES, PROCESSING	0	0		(D) TONS	(D) $ / TON	(D)	
ARIZONA	PECANS, UTILIZED, IN SHELL	0	0		29,500,000 LB		51,625,000	
ARIZONA	PECANS	0	21000	1,405 LB / ACRE		1.75 $ / LB		
ARIZONA	LEMONS	0	7300	247 BOXES / ACRE	38,475,000 $, ON TREE EQUIV	27.77 $ / BOX, PHD EQUIV	50,002,000	
ARIZONA	LEMONS, UTILIZED	0	0		72,000 TONS			
ARIZONA	LEMONS, FRESH MARKET	0	0		52,000 TONS	(D) $ / BOX, PHD EQUIV		
ARIZONA	LEMONS, PROCESSING	0	0		20,000 TONS	(D) $ / BOX, PHD EQUIV		
ARIZONA	WHEAT, SPRING, DURUM	50000	49000	99 BU / ACRE	4,851,000 BU	7.59 $ / BU	32,566,000	
ARIZONA	WHEAT	50000	49000	99 BU / ACRE	4,851,000 BU	7.59 $ / BU	32,566,000	
ARIZONA	CABBAGE, FRESH MARKET	0	0			18.4 $ / CWT	32,163,000	
ARIZONA	CABBAGE	3900	3800	460 CWT / ACRE	1,748,000 CWT	18.4 $ / CWT	32,163,000	
ARIZONA	CABBAGE, UTILIZED	0	0		1,748,000 CWT			
ARIZONA	CORN, GRAIN	0	29000	202 BU / ACRE	5,858,000 BU	5.4 $ / BU	29,290,000	
ARIZONA	CORN, SILAGE	0	45000	29 TONS / ACRE	1,305,000 TONS			
ARIZONA	CORN	75000	0					
ARIZONA	BARLEY	12000	8000	122 BU / ACRE	976,000 BU	4.55 $ / BU	4,343,000	
ARKANSAS	SOYBEANS	2820000	2800000	51.5 BU / ACRE	144,200,000 BU	10.5 $ / BU	1,542,900,000	
ARKANSAS	RICE	1461000	1441000	7,500 LB / ACRE	108,107,000 CWT	12 $ / CWT	1,297,284,000	
ARKANSAS	CORN, GRAIN	0	605000	184 BU / ACRE	111,320,000 BU	4.49 $ / BU	439,714,000	
ARKANSAS	CORN, SILAGE	0	6000	15 TONS / ACRE	90,000 TONS			
ARKANSAS	CORN	620000	0					
ARKANSAS	COTTON, UPLAND	525000	520000	1,179 LB / ACRE	1,277,000 480 LB BALES	0.684 $ / LB	413,712,000	
ARKANSAS	COTTON, COTTONSEED	0	0		402,000 TONS	196 $ / TON	81,928,000	
ARKANSAS	COTTON, PIMA	0	0			(NA) $ / LB		
ARKANSAS	COTTON	525000	520000	1,179 LB / ACRE	1,277,000 480 LB BALES			
ARKANSAS	HAY	0	1273000	2.1 TONS / ACRE	2,677,000 TONS	108 $ / TON	289,956,000	
ARKANSAS	HAY, (EXCL ALFALFA)	0	1270000	2.1 TONS / ACRE	2,667,000 TONS	108 $ / TON	288,036,000	
ARKANSAS	HAY, ALFALFA	0	3000	3.3 TONS / ACRE	10,000 TONS	192 $ / TON	1,920,000	
ARKANSAS	HAY & HAYLAGE	0	0				289,956,000	
ARKANSAS	HAY & HAYLAGE, (EXCL ALFALFA)	0	0				288,036,000	
ARKANSAS	HAY & HAYLAGE, ALFALFA	0	0				1,920,000	
ARKANSAS	PEANUTS	39000	38000	4,800 LB / ACRE	182,400,000 LB	0.193 $ / LB	35,386,000	
ARKANSAS	WHEAT, WINTER	145000	75000	55 BU / ACRE	4,125,000 BU	5.44 $ / BU	22,894,000	
ARKANSAS	WHEAT	145000	75000	55 BU / ACRE	4,125,000 BU	5.44 $ / BU	22,894,000	
ARKANSAS	OATS	8000	5000	64 BU / ACRE	320,000 BU	3 $ / BU	960,000	
ARKANSAS	SORGHUM, GRAIN	0	0			(NA) $ / CWT		
CALIFORNIA	ALMONDS, UTILIZED, SHELLED	0	0		3,115,000,000 LB		5,619,930,000	
CALIFORNIA	ALMONDS, UTILIZED	0	0	2,490 LB / ACRE				
CALIFORNIA	ALMONDS	0	1250000			1.83 $ / LB		
CALIFORNIA	GRAPES, UTILIZED	0	0		5,615,000 TONS		4,481,297,000	
CALIFORNIA	GRAPES, PROCESSING	0	0		4,654,900 TONS	653 $ / TON	3,041,147,000	
CALIFORNIA	GRAPES, FRESH MARKET	0	0		960,100 TONS	1,500 $ / TON	1,440,150,000	
CALIFORNIA	GRAPES	0	844000	6.65 TONS / ACRE	5,615,000 TONS	798 $ / TON		
CALIFORNIA	PISTACHIOS, UTILIZED, IN SHELL	0	0		1,045,000,000 LB		2,873,750,000	
CALIFORNIA	PISTACHIOS, UTILIZED	0	0	2,810 LB / ACRE				
CALIFORNIA	PISTACHIOS	0	372000			2.75 $ / LB		
CALIFORNIA	STRAWBERRIES	33500	33100	32.48 TONS / ACRE	1,075,000 TONS	92.7 $ / CWT	1,989,170,000	
CALIFORNIA	STRAWBERRIES, UTILIZED	0	0		1,073,000 TONS			
CALIFORNIA	STRAWBERRIES, PROCESSING	0	0			(D) $ / CWT	(D)	
CALIFORNIA	STRAWBERRIES, FRESH MARKET	0	0			(D) $ / CWT	(D)	
CALIFORNIA	TOMATOES, IN THE OPEN	255000	248900	940 CWT / ACRE	233,966,000 CWT		1,197,026,000	
CALIFORNIA	TOMATOES, IN THE OPEN, PROCESSING	234000	228000	49.62 TONS / ACRE	11,312,256 TONS		938,917,000	
CALIFORNIA	TOMATOES, IN THE OPEN, FRESH MARKET	0	0				258,109,000	
CALIFORNIA	TOMATOES, IN THE OPEN, UTILIZED	0	0		232,796,200 CWT			
CALIFORNIA	TOMATOES	0	0			5.14 $ / CWT		
CALIFORNIA	TOMATOES, FRESH MARKET	0	0			39.4 $ / CWT		
CALIFORNIA	TOMATOES, PROCESSING	0	0			83 $ / TON		
CALIFORNIA	HAY & HAYLAGE	0	960000	6.02 TONS / ACRE, DRY BASIS	5,780,000 TONS, DRY BASIS		1,007,260,000	
CALIFORNIA	HAY & HAYLAGE, ALFALFA	65000	515000	7.09 TONS / ACRE, DRY BASIS	3,651,000 TONS, DRY BASIS		690,039,000	
CALIFORNIA	HAY & HAYLAGE, (EXCL ALFALFA)	0	445000	4.78 TONS / ACRE, DRY BASIS	2,129,000 TONS, DRY BASIS		317,221,000	
CALIFORNIA	WALNUTS, ENGLISH, UTILIZED, IN SHELL	0	0	2.07 TONS / ACRE	785,000 TONS		957,700,000	
CALIFORNIA	WALNUTS, ENGLISH, UTILIZED	0	0		785,000 TONS			
CALIFORNIA	WALNUTS, ENGLISH	0	380000			1,220 $ / TON		
CALIFORNIA	LETTUCE, HEAD, FRESH MARKET	0	0			30.9 $ / CWT	930,452,000	
CALIFORNIA	LETTUCE, HEAD	80000	79400	380 CWT / ACRE	30,172,000 CWT	30.9 $ / CWT	930,452,000	
CALIFORNIA	LETTUCE, ROMAINE, FRESH MARKET	0	0			30.6 $ / CWT	695,018,000	
CALIFORNIA	LETTUCE, ROMAINE	69300	67800	335 CWT / ACRE	22,713,000 CWT	30.6 $ / CWT	695,018,000	
CALIFORNIA	LETTUCE, LEAF, FRESH MARKET	0	0			49.1 $ / CWT	649,814,000	
CALIFORNIA	LETTUCE, LEAF	53000	51900	255 CWT / ACRE	13,234,500 CWT	49.1 $ / CWT	649,814,000	
CALIFORNIA	LETTUCE, HEAD, UTILIZED	0	0		30,111,700 CWT			
CALIFORNIA	LETTUCE, LEAF, UTILIZED	0	0		13,234,500 CWT			
CALIFORNIA	LETTUCE, ROMAINE, UTILIZED	0	0		22,713,000 CWT			
CALIFORNIA	ORANGES	0	145000	373 BOXES / ACRE		15.86 $ / BOX, PHD EQUIV	858,093,000	
CALIFORNIA	ORANGES, UTILIZED	0	0		2,164,000 TONS			
CALIFORNIA	ORANGES, PROCESSING	0	0		460,000 TONS		(D)	
CALIFORNIA	ORANGES, FRESH MARKET	0	0		1,704,000 TONS		(D)	
CALIFORNIA	RICE	517000	514000	8,720 LB / ACRE	44,810,000 CWT	18.9 $ / CWT	846,909,000	
CALIFORNIA	HAY	0	825000	5.59 TONS / ACRE	4,610,000 TONS	180 $ / TON	823,690,000	
CALIFORNIA	HAY, ALFALFA	0	475000	7.2 TONS / ACRE	3,420,000 TONS	189 $ / TON	646,380,000	
CALIFORNIA	HAY, (EXCL ALFALFA)	0	350000	3.4 TONS / ACRE	1,190,000 TONS	150 $ / TON	177,310,000	
