State	Commodity	plantedAllPurposeAcres	harvestedAcres	cropYield	production	pricePerUnit	productionValueDollars
CALIFORNIA	SQUASH, UTILIZED	0	0		1,328,700 CWT			
CALIFORNIA	SQUASH, FRESH MARKET	0	0			(D) $ / CWT	(D)	
CALIFORNIA	SQUASH, PROCESSING	0	0			(D) $ / TON	(D)	
CALIFORNIA	BEANS, SNAP	6000	5900	105 CWT / ACRE	619,500 CWT	78.2 $ / CWT	45,721,000	
CALIFORNIA	BEANS, SNAP, UTILIZED	0	0		584,800 CWT			
CALIFORNIA	BEANS, SNAP, PROCESSING	0	0			(D) $ / TON	(D)	
CALIFORNIA	BEANS, SNAP, FRESH MARKET	0	0			(D) $ / CWT	(D)	
CALIFORNIA	APRICOTS, UTILIZED	0	0		31,100 TONS		29,968,000	
CALIFORNIA	APRICOTS	0	8000	3.9 TONS / ACRE	31,200 TONS	964 $ / TON		
CALIFORNIA	APRICOTS, PROCESSING	0	0		(D) TONS	(D) $ / TON	(D)	
CALIFORNIA	APRICOTS, FRESH MARKET	0	0		(D) TONS	(D) $ / TON	(D)	
CALIFORNIA	ASPARAGUS	4000	4000	33 CWT / ACRE	132,000 CWT	177 $ / CWT	23,364,000	
CALIFORNIA	ASPARAGUS, FRESH MARKET	0	0			177 $ / CWT	23,364,000	
CALIFORNIA	ASPARAGUS, UTILIZED	0	0		132,000 CWT			
CALIFORNIA	CUCUMBERS	6300	6200	150 CWT / ACRE	930,000 CWT	23.8 $ / CWT	22,104,000	
CALIFORNIA	CUCUMBERS, FRESH MARKET	0	0			46 $ / CWT	17,071,000	
CALIFORNIA	CUCUMBERS, PROCESSING	0	0			181 $ / TON	5,033,000	
CALIFORNIA	CUCUMBERS, UTILIZED	0	0		927,200 CWT			
CALIFORNIA	PUMPKINS	3900	3800	270 CWT / ACRE	1,026,000 CWT	20.2 $ / CWT	20,705,000	
CALIFORNIA	PUMPKINS, FRESH MARKET	0	0			20.2 $ / CWT	20,705,000	
CALIFORNIA	PUMPKINS, UTILIZED	0	0		1,025,000 CWT			
CALIFORNIA	SUNFLOWER	44600	44100	1,296 LB / ACRE	57,170,000 LB	24.6 $ / CWT	13,946,000	
CALIFORNIA	SAFFLOWER	21000	20700	2,350 LB / ACRE	48,645,000 LB	25.1 $ / CWT	12,210,000	
CALIFORNIA	BARLEY	60000	33000	47 BU / ACRE	1,551,000 BU	4.64 $ / BU	6,484,000	
CALIFORNIA	OATS	95000	4000	75 BU / ACRE	300,000 BU	3 $ / BU	900,000	
CALIFORNIA	CUT CULTIVATED GREENS	0	0					
CALIFORNIA	CUT FLOWERS	0	0					
CALIFORNIA	FLOWERING PLANTS, POTTED, INDOOR USE	0	0					
CALIFORNIA	FOLIAGE PLANTS, INDOOR USE	0	0					
CALIFORNIA	FOLIAGE PLANTS, INDOOR USE, POTS	0	0					
CALIFORNIA	PROPAGATIVE MATERIAL, FLORICULTURE	0	0					
CALIFORNIA	BEDDING PLANTS, ANNUAL	0	0					
CALIFORNIA	MUSHROOMS, AGARICUS	0	0	4.39 LB / SQ FT	112,457,000 LB	2.2 $ / LB		
CALIFORNIA	SUGARBEETS	24000	23900	45.5 TONS / ACRE	1,087,000 TONS			
CALIFORNIA	HAYLAGE	0	185000	12.8 TONS / ACRE	2,368,000 TONS			
CALIFORNIA	HAYLAGE, (EXCL ALFALFA)	0	125000	15.2 TONS / ACRE	1,900,000 TONS			
CALIFORNIA	HAYLAGE, ALFALFA	0	60000	7.8 TONS / ACRE	468,000 TONS			
CALIFORNIA	BEDDING PLANTS, HERBACEOUS PERENNIAL, POTS	0	0					
CALIFORNIA	CHICKPEAS	8300	8100	2,700 LB / ACRE	219,000 CWT	(D) $ / CWT	(D)	
COLORADO	HAY	0	1380000	2.39 TONS / ACRE	3,298,000 TONS	212 $ / TON	695,164,000	
COLORADO	HAY, ALFALFA	0	700000	3.4 TONS / ACRE	2,380,000 TONS	209 $ / TON	495,040,000	
COLORADO	HAY, (EXCL ALFALFA)	0	680000	1.35 TONS / ACRE	918,000 TONS	221 $ / TON	200,124,000	
COLORADO	HAY & HAYLAGE	0	0				695,164,000	
COLORADO	HAY & HAYLAGE, ALFALFA	75000	0				495,040,000	
COLORADO	HAY & HAYLAGE, (EXCL ALFALFA)	0	0				200,124,000	
COLORADO	CORN, GRAIN	0	1060000	116 BU / ACRE	122,960,000 BU	4.62 $ / BU	577,912,000	
COLORADO	CORN	1420000	0					
COLORADO	CORN, SILAGE	0	230000	23 TONS / ACRE	5,290,000 TONS			
COLORADO	POTATOES	54000	53800	420 CWT / ACRE	22,596,000 CWT	10.7 $ / CWT	241,777,000	
COLORADO	POTATOES, FRESH MARKET	0	0			12 $ / CWT		
COLORADO	WHEAT, WINTER	1900000	1520000	27 BU / ACRE	41,040,000 BU	4.62 $ / BU	190,836,000	
COLORADO	WHEAT	1900000	1520000	27 BU / ACRE	41,040,000 BU	4.62 $ / BU	190,836,000	
COLORADO	MILLET, PROSO	425000	310000	14.5 BU / ACRE	4,495,000 BU	12.6 $ / BU	48,097,000	
COLORADO	BARLEY	56000	47000	145 BU / ACRE	6,815,000 BU	4.89 $ / BU	31,646,000	
COLORADO	SORGHUM, GRAIN	0	255000	20 BU / ACRE	5,100,000 BU	7 $ / CWT	21,420,000	
COLORADO	SORGHUM	370000	0					
COLORADO	SORGHUM, SILAGE	0	23000	11 TONS / ACRE	253,000 TONS			
COLORADO	PEACHES, UTILIZED	0	0		4,160 TONS		11,748,000	
COLORADO	PEACHES	0	2500	1.71 TONS / ACRE	4,280 TONS	2,820 $ / TON		
COLORADO	PEACHES, PROCESSING	0	0		(D) TONS	(D) $ / TON	(D)	
COLORADO	PEACHES, FRESH MARKET	0	0		(D) TONS	(D) $ / TON	(D)	
COLORADO	SUNFLOWER	60000	49000	941 LB / ACRE	46,110,000 LB	21.5 $ / CWT	9,900,000	
COLORADO	PROPAGATIVE MATERIAL, FLORICULTURE	0	0					
COLORADO	CUT FLOWERS	0	0					
COLORADO	BEDDING PLANTS, ANNUAL	0	0					
COLORADO	FOLIAGE PLANTS, INDOOR USE	0	0					
COLORADO	FOLIAGE PLANTS, INDOOR USE, POTS	0	0					
COLORADO	SUGARBEETS	24200	23700	31.3 TONS / ACRE	742,000 TONS			
COLORADO	FLOWERING PLANTS, POTTED, INDOOR USE	0	0					
COLORADO	BEDDING PLANTS, HERBACEOUS PERENNIAL, POTS	0	0					
CONNECTICUT	HAY & HAYLAGE	0	0				15,160,000	
CONNECTICUT	HAY & HAYLAGE, (EXCL ALFALFA)	0	0				12,960,000	
CONNECTICUT	HAY & HAYLAGE, ALFALFA	1000	0				2,200,000	
CONNECTICUT	HAY	0	46000	1.8 TONS / ACRE	83,000 TONS	184 $ / TON	15,160,000	
CONNECTICUT	HAY, (EXCL ALFALFA)	0	40000	1.8 TONS / ACRE	72,000 TONS	180 $ / TON	12,960,000	
CONNECTICUT	HAY, ALFALFA	0	6000	1.9 TONS / ACRE	11,000 TONS	210 $ / TON	2,200,000	
CONNECTICUT	PROPAGATIVE MATERIAL, FLORICULTURE	0	0					
CONNECTICUT	BEDDING PLANTS, ANNUAL	0	0					
CONNECTICUT	CUT FLOWERS	0	0					
CONNECTICUT	FLOWERING PLANTS, POTTED, INDOOR USE	0	0					
CONNECTICUT	CORN	24000	0					
CONNECTICUT	CORN, SILAGE	0	22000	16 TONS / ACRE	352,000 TONS			
CONNECTICUT	BEDDING PLANTS, HERBACEOUS PERENNIAL, POTS	0	0					
CONNECTICUT	FOLIAGE PLANTS, INDOOR USE, POTS	0	0					
CONNECTICUT	FOLIAGE PLANTS, INDOOR USE	0	0					
DELAWARE	CORN, GRAIN	0	176000	160 BU / ACRE	28,160,000 BU	5.6 $ / BU	121,088,000	
DELAWARE	CORN, IRRIGATED, GRAIN	0	86400	182.3 BU / ACRE	15,755,000 BU			
DELAWARE	CORN, NON-IRRIGATED, GRAIN	0	89600	138.4 BU / ACRE	12,405,000 BU			
DELAWARE	CORN, SILAGE	0	4000	19 TONS / ACRE	76,000 TONS			
DELAWARE	CORN, IRRIGATED	88400	0					
DELAWARE	CORN, NON-IRRIGATED	91600	0					
DELAWARE	CORN	180000	0					
DELAWARE	SOYBEANS	150000	148000	49 BU / ACRE	7,252,000 BU	11.6 $ / BU	63,455,000	
DELAWARE	SOYBEANS, NON-IRRIGATED	102000	101400	45.1 BU / ACRE	4,573,000 BU			
DELAWARE	SOYBEANS, IRRIGATED	48000	46600	57.5 BU / ACRE	2,679,000 BU			
DELAWARE	WHEAT	75000	55000	73 BU / ACRE	4,015,000 BU	5.8 $ / BU	22,283,000	
DELAWARE	WHEAT, WINTER	75000	55000	73 BU / ACRE	4,015,000 BU	5.8 $ / BU	22,283,000	
DELAWARE	HAY	0	14000	2.43 TONS / ACRE	34,000 TONS	161 $ / TON	5,292,000	
DELAWARE	HAY, (EXCL ALFALFA)	0	10000	2.4 TONS / ACRE	24,000 TONS	145 $ / TON	3,312,000	
DELAWARE	HAY, ALFALFA	0	4000	2.5 TONS / ACRE	10,000 TONS	198 $ / TON	1,980,000	
DELAWARE	HAY & HAYLAGE	0	0				5,292,000	
DELAWARE	HAY & HAYLAGE, (EXCL ALFALFA)	0	0				3,312,000	
DELAWARE	HAY & HAYLAGE, ALFALFA	1000	0				1,980,000	
DELAWARE	BARLEY	21000	15000	84 BU / ACRE	1,260,000 BU	3.45 $ / BU	3,906,000	
FLORIDA	ORANGES	0	350900	192 BOXES / ACRE		12.42 $ / BOX, PHD EQUIV	837,111,000	
FLORIDA	ORANGES, PROCESSING	0	0		2,887,000 TONS	12.35 $ / BOX, PHD EQUIV	792,291,000	
FLORIDA	ORANGES, FRESH MARKET	0	0		146,000 TONS	13.86 $ / BOX, PHD EQUIV	44,820,000	
FLORIDA	ORANGES, UTILIZED	0	0		3,033,000 TONS			
FLORIDA	TOMATOES, IN THE OPEN, FRESH MARKET	0	0				463,004,000	
FLORIDA	TOMATOES, IN THE OPEN	25000	24000	280 CWT / ACRE	6,720,000 CWT		463,004,000	
FLORIDA	TOMATOES	0	0			76.3 $ / CWT		
FLORIDA	TOMATOES, IN THE OPEN, UTILIZED	0	0		6,068,200 CWT			
FLORIDA	TOMATOES, FRESH MARKET	0	0			76.3 $ / CWT		
FLORIDA	STRAWBERRIES	9900	9900	8.99 TONS / ACRE	89,000 TONS	137 $ / CWT	239,780,000	
FLORIDA	STRAWBERRIES, UTILIZED	0	0		87,500 TONS			
FLORIDA	STRAWBERRIES, PROCESSING	0	0			(D) $ / CWT	(D)	
FLORIDA	STRAWBERRIES, FRESH MARKET	0	0			(D) $ / CWT	(D)	
FLORIDA	MELONS, WATERMELON, FRESH MARKET	0	0			18.4 $ / CWT	157,493,000	
FLORIDA	MELONS, WATERMELON	26300	25200	340 CWT / ACRE	8,568,000 CWT	18.4 $ / CWT	157,493,000	
FLORIDA	MELONS, CANTALOUP	2000	1900	240 CWT / ACRE	456,000 CWT	30.2 $ / CWT	13,756,000	
FLORIDA	MELONS, CANTALOUP, FRESH MARKET	0	0			30.2 $ / CWT	13,756,000	
FLORIDA	MELONS, CANTALOUP, UTILIZED	0	0		455,500 CWT			
FLORIDA	MELONS, WATERMELON, UTILIZED	0	0		8,559,400 CWT			
FLORIDA	SWEET CORN	38000	36000	120 CWT / ACRE	4,320,000 CWT	33 $ / CWT	136,716,000	
FLORIDA	SWEET CORN, FRESH MARKET	0	0			33 $ / CWT	136,716,000	
FLORIDA	SWEET CORN, UTILIZED	0	0		4,142,900 CWT			
FLORIDA	HAY	0	280000	3 TONS / ACRE	840,000 TONS	154 $ / TON	123,480,000	
FLORIDA	HAY, (EXCL ALFALFA)	0	280000	3 TONS / ACRE	840,000 TONS	154 $ / TON	123,480,000	
FLORIDA	HAY, ALFALFA	0	0			(NA) $ / TON		
FLORIDA	HAY & HAYLAGE	0	0				123,480,000	
FLORIDA	HAY & HAYLAGE, (EXCL ALFALFA)	0	0				123,480,000	
FLORIDA	PEANUTS	175000	166000	3,400 LB / ACRE	564,400,000 LB	0.204 $ / LB	113,883,000	
FLORIDA	POTATOES	21000	20400	260 CWT / ACRE	5,304,000 CWT	20.3 $ / CWT	107,671,000	
FLORIDA	CUCUMBERS	21000	20700	165 CWT / ACRE	3,415,500 CWT	22.9 $ / CWT	77,434,000	
FLORIDA	CUCUMBERS, UTILIZED	0	0		3,388,200 CWT			
FLORIDA	CUCUMBERS, FRESH MARKET	0	0			(D) $ / CWT	(D)	
FLORIDA	CUCUMBERS, PROCESSING	0	0			(D) $ / TON	(D)	
FLORIDA	BEANS, SNAP	28000	26200	50 CWT / ACRE	1,310,000 CWT	55 $ / CWT	69,580,000	
FLORIDA	BEANS, SNAP, UTILIZED	0	0		1,264,200 CWT			
FLORIDA	BEANS, SNAP, FRESH MARKET	0	0			(D) $ / CWT	(D)	
FLORIDA	BEANS, SNAP, PROCESSING	0	0			(D) $ / TON	(D)	
FLORIDA	GRAPEFRUIT	0	21700	224 BOXES / ACRE	50,280,000 $, ON TREE EQUIV	13.7 $ / BOX, PHD EQUIV	66,453,000	
FLORIDA	GRAPEFRUIT, FRESH MARKET	0	0		91,000 TONS	18.49 $ / BOX, PHD EQUIV	39,513,000	
FLORIDA	GRAPEFRUIT, PROCESSING	0	0		115,000 TONS	9.93 $ / BOX, PHD EQUIV	26,940,000	
FLORIDA	GRAPEFRUIT, UTILIZED	0	0		206,000 TONS			
FLORIDA	BLUEBERRIES, TAME, UTILIZED	0	0		20,170,000 LB		51,616,000	
FLORIDA	BLUEBERRIES, TAME	0	4400	4,790 LB / ACRE	21,100,000 LB	2.56 $ / LB		
FLORIDA	BLUEBERRIES, TAME, FRESH MARKET	0	0		(D) LB	(D) $ / LB	(D)	
FLORIDA	BLUEBERRIES, TAME, PROCESSING	0	0		(D) LB	(D) $ / LB	(D)	
FLORIDA	CABBAGE	9000	8800	280 CWT / ACRE	2,464,000 CWT	20.4 $ / CWT	49,852,000	
FLORIDA	CABBAGE, UTILIZED	0	0		2,439,400 CWT			
FLORIDA	CABBAGE, FRESH MARKET	0	0			(D) $ / CWT	(D)	
FLORIDA	CABBAGE, PROCESSING	0	0			(D) $ / TON	(D)	
FLORIDA	CORN, GRAIN	0	61000	138 BU / ACRE	8,418,000 BU	5.67 $ / BU	39,144,000	
FLORIDA	CORN	100000	0					
FLORIDA	CORN, SILAGE	0	35000	19 TONS / ACRE	665,000 TONS			
FLORIDA	COTTON, UPLAND	98000	93000	532 LB / ACRE	103,000 480 LB BALES	0.722 $ / LB	37,980,000	
FLORIDA	COTTON, COTTONSEED	0	0		28,000 TONS	135 $ / TON	4,760,000	
FLORIDA	COTTON, PIMA	0	0			(NA) $ / LB		
FLORIDA	COTTON	98000	93000	532 LB / ACRE	103,000 480 LB BALES			
FLORIDA	TANGERINES	0	7900	129 BOXES / ACRE		25.56 $ / BOX, PHD EQUIV	26,070,000	
FLORIDA	TANGERINES, FRESH MARKET	0	0		30,000 TONS	37 $ / BOX, PHD EQUIV	23,606,000	
FLORIDA	TANGERINES, PROCESSING	0	0		18,000 TONS	6.45 $ / BOX, PHD EQUIV	2,464,000	
FLORIDA	TANGERINES, UTILIZED	0	0		48,000 TONS			
FLORIDA	AVOCADOS, UTILIZED	0	0		17,170 TONS		13,726,000	
FLORIDA	AVOCADOS	0	4600	3.8 TONS / ACRE	17,500 TONS	799 $ / TON		
FLORIDA	AVOCADOS, PROCESSING	0	0		(D) TONS	(D) $ / TON	(D)	
FLORIDA	AVOCADOS, FRESH MARKET	0	0		(D) TONS	(D) $ / TON	(D)	
FLORIDA	PEPPERS, BELL, UTILIZED	0	0		(D) CWT			
FLORIDA	PEPPERS, BELL, FRESH MARKET	0	0			(D) $ / CWT	(D)	
FLORIDA	PEPPERS, BELL, PROCESSING	0	0			(D) $ / TON	(D)	
FLORIDA	PEPPERS, BELL	(D)	(D)	(D) CWT / ACRE	(D) CWT	(D) $ / CWT	(D)	
FLORIDA	BEDDING PLANTS, ANNUAL	0	0					
FLORIDA	CUT CULTIVATED GREENS	0	0					
FLORIDA	FOLIAGE PLANTS, INDOOR USE	0	0					
FLORIDA	FOLIAGE PLANTS, INDOOR USE, POTS	0	0					
FLORIDA	PROPAGATIVE MATERIAL, FLORICULTURE	0	0					
FLORIDA	SQUASH, UTILIZED	0	0		(D) CWT			
FLORIDA	SQUASH, PROCESSING	0	0			(D) $ / TON	(D)	
FLORIDA	SQUASH, FRESH MARKET	0	0			(D) $ / CWT	(D)	
FLORIDA	SQUASH	(D)	(D)	(D) CWT / ACRE	(D) CWT	(D) $ / CWT	(D)	
FLORIDA	CUT FLOWERS	0	0					
FLORIDA	FLOWERING PLANTS, POTTED, INDOOR USE	0	0					
FLORIDA	SOYBEANS	0	0			(NA) $ / BU		
FLORIDA	SUGARCANE, SUGAR	0	409000	44.3 TONS / ACRE	18,119,000 TONS			
FLORIDA	SUGARCANE, SEED	0	14300	47.3 TONS / ACRE	676,000 TONS			
FLORIDA	SUGARCANE, SUGAR & SEED	0	423300	44.4 TONS / ACRE	18,795,000 TONS			
FLORIDA	BEDDING PLANTS, HERBACEOUS PERENNIAL, POTS	0	0					
FLORIDA	MUSHROOMS, AGARICUS	0	0		12,801,000 LB			
GEORGIA	COTTON, UPLAND	1190000	1180000	887 LB / ACRE	2,180,000 480 LB BALES	0.728 $ / LB	713,645,000	
GEORGIA	COTTON, COTTONSEED	0	0		613,000 TONS	152 $ / TON	93,469,000	
GEORGIA	COTTON, PIMA	0	0			(NA) $ / LB		
GEORGIA	COTTON	1190000	1180000	887 LB / ACRE	2,180,000 480 LB BALES			
GEORGIA	PEANUTS	810000	805000	4,120 LB / ACRE	3,316,600,000 LB	0.203 $ / LB	656,000,000	
GEORGIA	CORN, GRAIN	0	390000	180 BU / ACRE	70,200,000 BU	5.08 $ / BU	301,860,000	
GEORGIA	CORN, SILAGE	0	25000	18 TONS / ACRE	450,000 TONS			
GEORGIA	CORN	420000	0					
GEORGIA	PECANS, UTILIZED, IN SHELL	0	0		147,500,000 LB		187,325,000	
GEORGIA	PECANS	0	134000	1,100 LB / ACRE		1.27 $ / LB		
GEORGIA	HAY & HAYLAGE	0	0				164,160,000	
GEORGIA	HAY & HAYLAGE, (EXCL ALFALFA)	0	0				164,160,000	
GEORGIA	HAY	0	570000	3 TONS / ACRE	1,710,000 TONS	99 $ / TON	164,160,000	
GEORGIA	HAY, (EXCL ALFALFA)	0	570000	3 TONS / ACRE	1,710,000 TONS	99 $ / TON	164,160,000	
GEORGIA	HAY, ALFALFA	0	0			(NA) $ / TON		
GEORGIA	SWEET CORN	28000	27000	105 CWT / ACRE	2,835,000 CWT	48.7 $ / CWT	137,514,000	
GEORGIA	SWEET CORN, FRESH MARKET	0	0			48.7 $ / CWT	137,514,000	
GEORGIA	SWEET CORN, UTILIZED	0	0		2,823,700 CWT			
GEORGIA	MELONS, WATERMELON	19000	18600	370 CWT / ACRE	6,882,000 CWT	17.8 $ / CWT	122,500,000	
GEORGIA	MELONS, WATERMELON, FRESH MARKET	0	0			17.8 $ / CWT	122,500,000	
GEORGIA	MELONS, CANTALOUP	3900	3800	160 CWT / ACRE	608,000 CWT	25 $ / CWT	15,200,000	
GEORGIA	MELONS, CANTALOUP, FRESH MARKET	0	0			25 $ / CWT	15,200,000	
GEORGIA	MELONS, CANTALOUP, UTILIZED	0	0		608,000 CWT			
GEORGIA	MELONS, WATERMELON, UTILIZED	0	0		6,882,000 CWT			
GEORGIA	BLUEBERRIES, TAME, UTILIZED	0	0		69,080,000 LB		99,271,000	
GEORGIA	BLUEBERRIES, TAME, FRESH MARKET	0	0		49,120,000 LB	1.83 $ / LB	89,890,000	
GEORGIA	BLUEBERRIES, TAME, PROCESSING	0	0		19,960,000 LB	0.47 $ / LB	9,381,000	
GEORGIA	BLUEBERRIES, TAME	0	16000	4,640 LB / ACRE	74,200,000 LB	1.44 $ / LB		
GEORGIA	SOYBEANS	100000	95000	41 BU / ACRE	3,895,000 BU	13 $ / BU	40,508,000	
GEORGIA	PEACHES, UTILIZED	0	0		29,760 TONS		40,450,000	
GEORGIA	PEACHES	0	8800	3.8 TONS / ACRE	33,400 TONS	1,360 $ / TON		
GEORGIA	PEACHES, PROCESSING	0	0		(D) TONS	(D) $ / TON	(D)	
GEORGIA	PEACHES, FRESH MARKET	0	0		(D) TONS	(D) $ / TON	(D)	
GEORGIA	TOBACCO	0	7900	2,440 LB / ACRE	19,276,000 LB	2.03 $ / LB	39,130,000	
GEORGIA	BEANS, SNAP	10000	9400	46 CWT / ACRE	432,400 CWT	58.2 $ / CWT	24,897,000	
GEORGIA	BEANS, SNAP, UTILIZED	0	0		428,100 CWT			
GEORGIA	BEANS, SNAP, FRESH MARKET	0	0			(D) $ / CWT	(D)	
GEORGIA	BEANS, SNAP, PROCESSING	0	0			(D) $ / TON	(D)	
GEORGIA	WHEAT, WINTER	190000	85000	55 BU / ACRE	4,675,000 BU	5.2 $ / BU	24,310,000	
GEORGIA	WHEAT	190000	85000	55 BU / ACRE	4,675,000 BU	5.2 $ / BU	24,310,000	
GEORGIA	OATS	80000	20000	54 BU / ACRE	1,080,000 BU	4.35 $ / BU	4,698,000	
GEORGIA	CABBAGE, UTILIZED	0	0		(D) CWT			
GEORGIA	CABBAGE, FRESH MARKET	0	0			(D) $ / CWT	(D)	
GEORGIA	CABBAGE, PROCESSING	0	0			(D) $ / TON	(D)	
GEORGIA	CABBAGE	(D)	(D)	(D) CWT / ACRE	(D) CWT	(D) $ / CWT	(D)	
GEORGIA	PEPPERS, BELL, UTILIZED	0	0		(D) CWT			
GEORGIA	PEPPERS, BELL, FRESH MARKET	0	0			(D) $ / CWT	(D)	
GEORGIA	PEPPERS, BELL, PROCESSING	0	0			(D) $ / TON	(D)	
GEORGIA	PEPPERS, BELL	(D)	(D)	(D) CWT / ACRE	(D) CWT	(D) $ / CWT	(D)	
GEORGIA	SQUASH, UTILIZED	0	0		(D) CWT			
GEORGIA	SQUASH, FRESH MARKET	0	0			(D) $ / CWT	(D)	
GEORGIA	SQUASH, PROCESSING	0	0			(D) $ / TON	(D)	
GEORGIA	SQUASH	(D)	(D)	(D) CWT / ACRE	(D) CWT	(D) $ / CWT	(D)	
GEORGIA	CUCUMBERS, UTILIZED	0	0		(D) CWT			
GEORGIA	CUCUMBERS, PROCESSING	0	0			(D) $ / TON	(D)	
GEORGIA	CUCUMBERS	(D)	(D)	(D) CWT / ACRE	(D) CWT	(D) $ / CWT	(D)	
GEORGIA	CUCUMBERS, FRESH MARKET	0	0			(D) $ / CWT	(D)	
GEORGIA	SORGHUM, GRAIN	0	0			(NA) $ / CWT		
HAWAII	MACADAMIAS, UTILIZED, IN SHELL	0	0		39,500,000 LB		48,980,000	
HAWAII	MACADAMIAS, UTILIZED	0	0	2,350 LB / ACRE				
HAWAII	MACADAMIAS	0	16800			1.24 $ / LB		
HAWAII	COFFEE, UTILIZED	0	0		4,312,000 LB, GREEN BASIS		48,383,000	
HAWAII	COFFEE	0	6800	1.76 TONS / ACRE	11,935 TONS	19.4 $ / LB, GREEN BASIS		
HAWAII	PAPAYAS, UTILIZED	0	0		6,950,000 LB		3,053,000	
HAWAII	PAPAYAS	0	600	13,800 LB / ACRE	8,280,000 LB	0.439 $ / LB		
HAWAII	PAPAYAS, PROCESSING	0	0		(D) LB	(D) $ / LB	(D)	
HAWAII	PAPAYAS, FRESH MARKET	0	0		(D) LB	(D) $ / LB	(D)	
HAWAII	AVOCADOS, UTILIZED	0	0		500 TONS		1,186,000	
HAWAII	AVOCADOS	0	820	0.74 TONS / ACRE	610 TONS	2,370 $ / TON		
HAWAII	AVOCADOS, PROCESSING	0	0		(D) TONS	(D) $ / TON	(D)	
HAWAII	AVOCADOS, FRESH MARKET	0	0		(D) TONS	(D) $ / TON	(D)	
IDAHO	POTATOES	300000	299500	450 CWT / ACRE	134,775,000 CWT	7.28 $ / CWT	981,162,000	
IDAHO	POTATOES, FRESH MARKET	0	0			7 $ / CWT		
IDAHO	POTATOES, PROCESSING	0	0			7.1 $ / CWT		
IDAHO	HAY & HAYLAGE	0	1390000	4.35 TONS / ACRE, DRY BASIS	6,045,000 TONS, DRY BASIS		930,936,000	
IDAHO	HAY & HAYLAGE, ALFALFA	115000	1060000	4.75 TONS / ACRE, DRY BASIS	5,038,000 TONS, DRY BASIS		785,928,000	
IDAHO	HAY & HAYLAGE, (EXCL ALFALFA)	0	330000	3.05 TONS / ACRE, DRY BASIS	1,007,000 TONS, DRY BASIS		145,008,000	
IDAHO	HAY	0	1300000	4.05 TONS / ACRE	5,270,000 TONS	156 $ / TON	813,420,000	
IDAHO	HAY, ALFALFA	0	1010000	4.5 TONS / ACRE	4,545,000 TONS	157 $ / TON	709,020,000	
IDAHO	HAY, (EXCL ALFALFA)	0	290000	2.5 TONS / ACRE	725,000 TONS	142 $ / TON	104,400,000	
IDAHO	WHEAT	1240000	1164000	96.7 BU / ACRE	112,506,000 BU	5.11 $ / BU	582,419,000	
IDAHO	WHEAT, WINTER	720000	660000	101 BU / ACRE	66,660,000 BU	5.07 $ / BU	343,299,000	
IDAHO	WHEAT, SPRING, (EXCL DURUM)	510000	495000	91 BU / ACRE	45,045,000 BU	5.18 $ / BU	234,234,000	
IDAHO	WHEAT, SPRING, DURUM	10000	9000	89 BU / ACRE	801,000 BU	6.1 $ / BU	4,886,000	
IDAHO	BARLEY	530000	500000	110 BU / ACRE	55,000,000 BU	4.92 $ / BU	269,500,000	
IDAHO	CORN, GRAIN	0	130000	199 BU / ACRE	25,870,000 BU	4.8 $ / BU	121,589,000	
IDAHO	CORN, SILAGE	0	260000	29 TONS / ACRE	7,540,000 TONS			
IDAHO	CORN	390000	0					
IDAHO	HOPS	0	9268	1,855 LB / ACRE	17,190,100 LB	5.8 $ / LB	99,703,000	
IDAHO	MINT, PEPPERMINT, OIL	0	16500	120 LB / ACRE	1,980,000 LB	17.5 $ / LB	34,650,000	
IDAHO	MINT, SPEARMINT, OIL	0	1000	135 LB / ACRE	135,000 LB	(D) $ / LB	(D)	
IDAHO	CHICKPEAS	61100	60800	1,510 LB / ACRE	920,000 CWT	18.5 $ / CWT	17,368,000	
IDAHO	PEAS, DRY EDIBLE	35000	34000	2,500 LB / ACRE	850,000 CWT	12.7 $ / CWT	11,560,000	
IDAHO	LENTILS	29000	28000	1,300 LB / ACRE	364,000 CWT	21.4 $ / CWT	7,717,000	
IDAHO	SAFFLOWER	27500	26500	880 LB / ACRE	23,320,000 LB	20.1 $ / CWT	4,431,000	
IDAHO	OATS	55000	16000	102 BU / ACRE	1,632,000 BU	3.15 $ / BU	3,499,000	
IDAHO	CANOLA	0	0			(NA) $ / CWT		
IDAHO	HAYLAGE, ALFALFA	0	105000	9.5 TONS / ACRE	998,000 TONS			
IDAHO	HAYLAGE, (EXCL ALFALFA)	0	60000	9.5 TONS / ACRE	570,000 TONS			
IDAHO	HAYLAGE	0	165000	9.5 TONS / ACRE	1,568,000 TONS			
IDAHO	SUGARBEETS	172000	169000	40.5 TONS / ACRE	6,845,000 TONS			
ILLINOIS	CORN, GRAIN	0	11100000	191 BU / ACRE	2,120,100,000 BU	4.46 $ / BU	9,270,720,000	
ILLINOIS	CORN	11300000	0					
ILLINOIS	CORN, SILAGE	0	110000	20 TONS / ACRE	2,200,000 TONS			
ILLINOIS	SOYBEANS	10300000	10250000	60 BU / ACRE	615,000,000 BU	10.9 $ / BU	7,015,100,000	
ILLINOIS	HAY & HAYLAGE	0	515000	3.19 TONS / ACRE, DRY BASIS	1,641,000 TONS, DRY BASIS		247,007,000	
ILLINOIS	HAY & HAYLAGE, ALFALFA	30000	235000	4.15 TONS / ACRE, DRY BASIS	976,000 TONS, DRY BASIS		167,872,000	
